tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	poster_path	
tt0109830	movie	Forrest Gump	Forrest Gump	0	1994	\N	142	Drama,Romance	http://image.tmdb.org/t/p/original/saHP97rTPS5eLmrLQEcANmKrsFl.jpg	
tt0060196	movie	The Good, the Bad and the Ugly	Il buono, il brutto, il cattivo	0	1966	\N	161	Adventure,Western	http://image.tmdb.org/t/p/original/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg	
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi	http://image.tmdb.org/t/p/original/8c4a8kE7PizaGQQnditMmI1xbRp.jpg	
tt0099685	movie	Goodfellas	Goodfellas	0	1990	\N	145	Biography,Crime,Drama	http://image.tmdb.org/t/p/original/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg	
tt0080684	movie	Star Wars: Episode V - The Empire Strikes Back	The Empire Strikes Back	0	1980	\N	124	Action,Adventure,Fantasy	http://image.tmdb.org/t/p/original/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg	
tt0073486	movie	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	0	1975	\N	133	Drama	http://image.tmdb.org/t/p/original/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg	
tt0816692	movie	Interstellar	Interstellar	0	2014	\N	169	Adventure,Drama,Sci-Fi	http://image.tmdb.org/t/p/original/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg	
tt0317248	movie	City of God	Cidade de Deus	0	2002	\N	130	Crime,Drama	http://image.tmdb.org/t/p/original/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg	
tt0245429	movie	Spirited Away	Sen to Chihiro no kamikakushi	0	2001	\N	125	Adventure,Animation,Family	http://image.tmdb.org/t/p/original/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg	
tt0120815	movie	Saving Private Ryan	Saving Private Ryan	0	1998	\N	169	Drama,War	http://image.tmdb.org/t/p/original/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg	
tt0120689	movie	The Green Mile	The Green Mile	0	1999	\N	189	Crime,Drama,Fantasy	http://image.tmdb.org/t/p/original/velWPhVMQeQKcxggNEU8YmIo52R.jpg	
